Date,Close,Open,High,Low,Volume,Change,range,target,ror,buy_signal,hpr,dd,money
2021-05-08,71709000,68669000,71709000,68669000,1790.0,0.0446,1520000.0,69031000.0,1.035594164940389,66608930.0,2.7629649826291742,0.0,2762964.9826291744
2021-05-09,71285000,71704000,71704000,71280000,910.0,-0.0059,212000.0,73224000.0,1.0,,2.7629649826291742,0.0,2762964.9826291744
2021-05-10,70731000,71299000,71850000,70731000,1900.0,-0.0078000000000000005,559500.0,71511000.0,0.9858925871544238,68609070.0,2.7239866949413543,1.4107412845576177,2723986.6949413544
2021-05-11,69550000,70728000,70728000,67843000,1130.0,-0.0167,1442500.0,71287500.0,1.0,,2.7239866949413543,1.4107412845576177,2723986.6949413544
2021-05-12,61088000,69552000,69552000,61088000,3550.0,-0.1217,4232000.0,70994500.0,1.0,,2.7239866949413543,1.4107412845576177,2723986.6949413544
2021-05-13,62879000,61103000,62879000,61103000,1580.0,0.029300000000000003,888000.0,65335000.0,1.0,,2.7239866949413543,1.4107412845576177,2723986.6949413544
2021-05-14,61526000,62879000,62879000,61526000,1130.0,-0.0215,676500.0,63767000.0,1.0,,2.7239866949413543,1.4107412845576177,2723986.6949413544
2021-05-15,58217000,61568000,61568000,58217000,1570.0,-0.0538,1675500.0,62244500.0,1.0,,2.7239866949413543,1.4107412845576177,2723986.6949413544
2021-05-16,57538000,58248000,59833000,57538000,2480.0,-0.011699999999999999,1147500.0,59923500.0,1.0,,2.7239866949413543,1.4107412845576177,2723986.6949413544
2021-05-17,54050000,57483000,57483000,54050000,1830.0,-0.060599999999999994,1716500.0,58630500.0,1.0,,2.7239866949413543,1.4107412845576177,2723986.6949413544
2021-05-18,53153000,54062000,54062000,53153000,1650.0,-0.0166,454500.0,55778500.0,1.0,,2.7239866949413543,1.4107412845576177,2723986.6949413544
2021-05-19,50282000,53150000,53150000,50282000,3830.0,-0.054000000000000006,1434000.0,53604500.0,1.0,,2.7239866949413543,1.4107412845576177,2723986.6949413544
2021-05-20,51450000,50282000,51450000,49290000,950.0,0.0232,1080000.0,51716000.0,1.0,,2.7239866949413543,1.4107412845576177,2723986.6949413544
2021-05-21,48930000,51214000,51214000,48930000,3160.0,-0.049,1142000.0,52294000.0,1.0,,2.7239866949413543,1.4107412845576177,2723986.6949413544
2021-05-22,47273000,48934000,48934000,46258000,1200.0,-0.0339,1338000.0,50076000.0,1.0,,2.7239866949413543,1.4107412845576177,2723986.6949413544
2021-05-23,42471000,47312000,47312000,42471000,3570.0,-0.1016,2420500.0,48650000.0,1.0,,2.7239866949413543,1.4107412845576177,2723986.6949413544
2021-05-24,47100000,42499000,47100000,42499000,2170.0,0.109,2300500.0,44919500.0,1.0453423925021426,41224030.0,2.847498768833999,0.0,2847498.768833999
2021-05-25,46984000,47233000,47233000,46902000,1450.0,-0.0025,165500.0,49533500.0,1.0,,2.847498768833999,0.0,2847498.768833999
2021-05-26,47285000,47013000,48620000,47013000,1130.0,0.0064,803500.0,47178500.0,0.9990573841898321,45602610.0,2.8448146714750626,0.09426158101678365,2844814.6714750626
2021-05-27,46514000,47285000,47311000,46514000,1130.0,-0.0163,398500.0,48088500.0,1.0,,2.8448146714750626,0.09426158101678365,2844814.6714750626
2021-05-28,43641000,46483000,46483000,43641000,1780.0,-0.061799999999999994,1421000.0,46881500.0,1.0,,2.8448146714750626,0.09426158101678365,2844814.6714750626
2021-05-29,42660000,43630000,43630000,42124000,1530.0,-0.0225,753000.0,45051000.0,1.0,,2.8448146714750626,0.09426158101678365,2844814.6714750626
2021-05-30,43145000,42669000,43418000,42669000,910.0,0.011399999999999999,374500.0,43422000.0,1.0,,2.8448146714750626,0.09426158101678365,2844814.6714750626
2021-05-31,43675000,43143000,43675000,41933000,1040.0,0.0123,871000.0,43517500.0,1.0004192336416384,40675010.0,2.8460073134895714,0.052377734478823074,2846007.313489571
2021-06-01,43208000,43659000,43659000,43208000,1030.0,-0.010700000000000001,225500.0,44530000.0,1.0,,2.8460073134895714,0.052377734478823074,2846007.313489571
2021-06-02,43720000,43208000,43720000,43198000,900.0,0.0118,261000.0,43433500.0,1.0033962908814624,41902060.0,2.855673182176951,0.0,2855673.1821769513
2021-06-03,45440000,43720000,45440000,43720000,860.0,0.0393,860000.0,43981000.0,1.0299734157931832,42408400.0,2.9412674618357837,0.0,2941267.461835784
2021-06-04,42973000,45487000,45487000,42973000,680.0,-0.054299999999999994,1257000.0,46347000.0,1.0,,2.9412674618357837,0.0,2941267.461835784
2021-06-05,41982000,42945000,42945000,41782000,1030.0,-0.0231,581500.0,44202000.0,1.0,,2.9412674618357837,0.0,2941267.461835784
